time,total received,total sent,mobile received,mobile sent
46,1309587384,90442143,9186316,4157558
1045,1309587488,90442441,9186420,4157856
2118,1309587488,90442441,9186420,4157856
3097,1309587488,90442441,9186420,4157856
4097,1309587488,90442441,9186420,4157856
5147,1309587488,90442441,9186420,4157856
6153,1309587488,90442441,9186420,4157856
7145,1309587488,90442441,9186420,4157856
8149,1309587488,90442441,9186420,4157856
9199,1309587488,90442441,9186420,4157856
10201,1309587488,90442441,9186420,4157856
11197,1309587488,90442441,9186420,4157856
12196,1309587488,90442441,9186420,4157856
13197,1309587488,90442441,9186420,4157856
14199,1309587488,90442441,9186420,4157856
15197,1309587488,90442441,9186420,4157856
16243,1309587488,90442441,9186420,4157856
17247,1309587488,90442441,9186420,4157856
18324,1309587488,90442441,9186420,4157856
19348,1309587488,90442441,9186420,4157856
20346,1309587488,90442441,9186420,4157856
21395,1309587488,90442441,9186420,4157856
22398,1309587488,90442441,9186420,4157856
23396,1309587488,90442441,9186420,4157856
24396,1309587488,90442441,9186420,4157856
25399,1309587488,90442441,9186420,4157856
26412,1309587488,90442441,9186420,4157856
27396,1309587488,90442441,9186420,4157856
28444,1309587488,90442441,9186420,4157856
29446,1309587488,90442441,9186420,4157856
30445,1309587488,90442441,9186420,4157856
31447,1309587488,90442441,9186420,4157856
32445,1309587488,90442441,9186420,4157856
33444,1309587488,90442441,9186420,4157856
34446,1309587488,90442441,9186420,4157856
35446,1309587488,90442441,9186420,4157856
36446,1309587488,90442441,9186420,4157856
37447,1309587488,90442441,9186420,4157856
38466,1309587488,90442441,9186420,4157856
39452,1309587488,90442441,9186420,4157856
40497,1309587488,90442441,9186420,4157856
41496,1309587488,90442441,9186420,4157856
42572,1309587488,90442441,9186420,4157856
43597,1309587488,90442441,9186420,4157856
44597,1309587488,90442441,9186420,4157856
45596,1309587488,90442441,9186420,4157856
46658,1309587488,90442441,9186420,4157856
47645,1309587760,90446424,9190772,4161839
48644,1309607397,90448037,9206329,4163452
49645,1309607829,90448992,9206761,4164407
50659,1309608192,90449082,9207124,4164497
51644,1309608192,90449082,9207124,4164497
52648,1309608192,90449082,9207124,4164497
