time,total received,total sent,mobile received,mobile sent
742,502519840,194448014,0,0
1722,502521337,194449116,0,0
2723,502521337,194449116,0,0
3721,502521337,194449116,0,0
4740,502521337,194449116,0,0
5722,502521337,194449116,0,0
6722,502521337,194449116,0,0
7727,502521337,194449116,0,0
8745,502521337,194449116,0,0
9723,502521337,194449116,0,0
10727,502521337,194449116,0,0
11727,502521337,194449116,0,0
12757,502521337,194449116,0,0
13723,502521337,194449116,0,0
14773,502521337,194449116,0,0
15771,502521337,194449116,0,0
16811,502521426,194449294,0,0
17822,502521426,194449294,0,0
18825,502527014,194451660,0,0
19874,502527014,194451660,0,0
20964,502527014,194451660,0,0
21924,502527014,194451660,0,0
22922,502527014,194451660,0,0
23921,502527909,194452506,0,0
24944,502528431,194452558,0,0
25923,502528431,194452558,0,0
