time,total received,total sent,mobile received,mobile sent
182,1309442950,90391318,9042458,4107309
1222,1309442950,90391318,9042458,4107309
2221,1309442950,90391318,9042458,4107309
3273,1309442950,90391318,9042458,4107309
4272,1309442950,90391318,9042458,4107309
5273,1309442950,90391318,9042458,4107309
6272,1309442950,90391318,9042458,4107309
7270,1309442950,90391318,9042458,4107309
8269,1309443163,90391650,9042671,4107641
9269,1309443163,90391650,9042671,4107641
10277,1309443163,90391650,9042671,4107641
11276,1309443163,90391650,9042671,4107641
12274,1309443163,90391650,9042671,4107641
13276,1309443163,90391650,9042671,4107641
14275,1309443163,90391650,9042671,4107641
15321,1309443163,90391650,9042671,4107641
16323,1309443163,90391650,9042671,4107641
17370,1309443163,90391650,9042671,4107641
18413,1309443376,90391982,9042884,4107973
19379,1309443376,90391982,9042884,4107973
20376,1309443376,90391982,9042884,4107973
21374,1309443376,90391982,9042884,4107973
22386,1309443376,90391982,9042884,4107973
23375,1309443376,90391982,9042884,4107973
24375,1309443376,90391982,9042884,4107973
25372,1309443376,90391982,9042884,4107973
26422,1309443376,90391982,9042884,4107973
27421,1309443376,90391982,9042884,4107973
28469,1309443589,90392314,9043097,4108305
29473,1309443589,90392314,9043097,4108305
30511,1309443589,90392314,9043097,4108305
31472,1309443589,90392314,9043097,4108305
32468,1309443589,90392314,9043097,4108305
33482,1309443589,90392314,9043097,4108305
34474,1309443589,90392314,9043097,4108305
35471,1309443589,90392314,9043097,4108305
36474,1309443589,90392314,9043097,4108305
37472,1309443589,90392314,9043097,4108305
38492,1309443802,90392646,9043310,4108637
39472,1309443802,90392646,9043310,4108637
40519,1309443802,90392646,9043310,4108637
41522,1309443802,90392646,9043310,4108637
42570,1309443802,90392646,9043310,4108637
43569,1309443802,90392646,9043310,4108637
44573,1309443802,90392646,9043310,4108637
45571,1309443802,90392646,9043310,4108637
46615,1309443802,90392646,9043310,4108637
47572,1309443802,90392728,9043310,4108719
48568,1309444015,90392978,9043523,4108969
49620,1309444015,90392978,9043523,4108969
50657,1309444015,90392978,9043523,4108969
