time,total received,total sent,mobile received,mobile sent
395,1308295966,90199897,7896674,3917088
1375,1308295966,90199897,7896674,3917088
2373,1308295966,90199897,7896674,3917088
3375,1308295966,90199897,7896674,3917088
4377,1308296059,90199949,7896767,3917140
5375,1308296059,90199949,7896767,3917140
6373,1308297525,90200186,7898233,3917377
7384,1308297764,90200406,7898472,3917597
8377,1308297977,90200738,7898685,3917929
9375,1308297977,90200738,7898685,3917929
10374,1308297977,90200738,7898685,3917929
11383,1308297977,90200738,7898685,3917929
12395,1308298163,90200854,7898871,3918045
13377,1308298163,90200854,7898871,3918045
14373,1308298349,90200958,7899057,3918149
15376,1308299855,90201369,7900563,3918560
16428,1308300011,90201369,7900719,3918560
17428,1308300011,90201369,7900719,3918560
18431,1308300224,90201701,7900932,3918892
19473,1308300372,90201753,7901080,3918944
20508,1308300372,90201753,7901080,3918944
21475,1308300372,90201753,7901080,3918944
22477,1308300465,90201805,7901173,3918996
23522,1308300465,90201805,7901173,3918996
24558,1308300558,90201857,7901266,3919048
25525,1308300558,90201857,7901266,3919048
26531,1308300558,90201857,7901266,3919048
27528,1308300558,90201857,7901266,3919048
28527,1308300878,90202250,7901586,3919441
29522,1308300878,90202250,7901586,3919441
30523,1308300878,90202250,7901586,3919441
31525,1308300878,90202250,7901586,3919441
32574,1308300878,90202250,7901586,3919441
33578,1308300878,90202250,7901586,3919441
34574,1308300878,90202250,7901586,3919441
35575,1308300878,90202250,7901586,3919441
36609,1308300878,90202250,7901586,3919441
37573,1308300878,90202332,7901586,3919523
38573,1308301091,90202582,7901799,3919773
39574,1308301091,90202582,7901799,3919773
40614,1308301091,90202582,7901799,3919773
41575,1308301091,90202582,7901799,3919773
42574,1308301091,90202582,7901799,3919773
43574,1308301091,90202582,7901799,3919773
44609,1308301091,90202582,7901799,3919773
45573,1308301091,90202582,7901799,3919773
46583,1308301091,90202582,7901799,3919773
47585,1308301091,90202664,7901799,3919855
48627,1308301356,90204171,7902064,3921362
49623,1308301977,90204275,7902685,3921466
50675,1308301977,90204275,7902685,3921466
51673,1308301977,90204275,7902685,3921466
