time,total received,total sent,mobile received,mobile sent
381,1309510286,90413182,9109794,4129173
1365,1309510517,90413438,9110025,4129429
2368,1309510569,90413438,9110077,4129429
3365,1309510569,90413438,9110077,4129429
4365,1309510918,90413906,9110426,4129897
5417,1309510918,90413906,9110426,4129897
6418,1309510918,90413906,9110426,4129897
7412,1309510918,90413906,9110426,4129897
8446,1309510918,90413906,9110426,4129897
9415,1309510918,90413906,9110426,4129897
10416,1309510918,90413906,9110426,4129897
11415,1309510918,90413906,9110426,4129897
12413,1309510918,90413906,9110426,4129897
13469,1309510918,90413906,9110426,4129897
14514,1309511131,90414238,9110639,4130229
15514,1309511131,90414238,9110639,4130229
16548,1309511131,90414238,9110639,4130229
17566,1309511131,90414238,9110639,4130229
18563,1309511131,90414238,9110639,4130229
19564,1309511131,90414238,9110639,4130229
20603,1309511131,90414238,9110639,4130229
21565,1309511131,90414238,9110639,4130229
22575,1309511131,90414238,9110639,4130229
23569,1309511131,90414238,9110639,4130229
24566,1309511344,90414570,9110852,4130561
25564,1309511344,90414570,9110852,4130561
26562,1309511344,90414570,9110852,4130561
27565,1309511344,90414570,9110852,4130561
28649,1309511344,90414570,9110852,4130561
29615,1309511344,90414570,9110852,4130561
30617,1309511344,90414570,9110852,4130561
31612,1309511344,90414570,9110852,4130561
32614,1309511344,90414570,9110852,4130561
33615,1309511344,90414570,9110852,4130561
34664,1309511557,90414902,9111065,4130893
35666,1309511557,90414902,9111065,4130893
36679,1309511557,90414902,9111065,4130893
37666,1309511557,90414902,9111065,4130893
38665,1309511557,90414902,9111065,4130893
39664,1309511557,90414902,9111065,4130893
40749,1309511557,90414902,9111065,4130893
41714,1309511557,90414902,9111065,4130893
42714,1309511557,90414902,9111065,4130893
43714,1309511557,90414902,9111065,4130893
44744,1309511770,90415234,9111278,4131225
45768,1309511770,90415234,9111278,4131225
46763,1309511770,90415234,9111278,4131225
47765,1309511770,90415234,9111278,4131225
48767,1309511770,90415234,9111278,4131225
49824,1309511770,90415234,9111278,4131225
50819,1309511770,90415234,9111278,4131225
51814,1309511770,90415234,9111278,4131225
52815,1309511770,90415234,9111278,4131225
53815,1309511770,90415234,9111278,4131225
54814,1309512113,90415753,9111621,4131744
55813,1309512113,90415753,9111621,4131744
