time,total received,total sent,mobile received,mobile sent
866,1308615689,90303761,8215773,4020328
1918,1308615689,90303761,8215773,4020328
2916,1308615689,90303761,8215773,4020328
3917,1308615689,90303761,8215773,4020328
4913,1308615689,90303761,8215773,4020328
5915,1308615689,90303761,8215773,4020328
6916,1308615689,90303843,8215773,4020410
7964,1308615902,90304093,8215986,4020660
8998,1308615902,90304093,8215986,4020660
9973,1308615902,90304093,8215986,4020660
10974,1308615902,90304093,8215986,4020660
12017,1308615902,90304093,8215986,4020660
13034,1308615902,90304093,8215986,4020660
14015,1308616582,90305051,8216090,4021042
15017,1308616940,90305155,8216448,4021146
16015,1308616940,90305155,8216448,4021146
17049,1308616940,90305237,8216448,4021228
18019,1308617153,90305487,8216661,4021478
19015,1308617153,90305487,8216661,4021478
20063,1308617153,90305487,8216661,4021478
21084,1308617153,90305487,8216661,4021478
22071,1308617153,90305487,8216661,4021478
23064,1308617153,90305487,8216661,4021478
24112,1308617153,90305487,8216661,4021478
25141,1308617153,90305487,8216661,4021478
26118,1308617153,90305487,8216661,4021478
27115,1308617205,90305767,8216713,4021758
28114,1308617366,90305819,8216874,4021810
29150,1308617366,90305819,8216874,4021810
30115,1308617366,90305819,8216874,4021810
31113,1308617366,90305819,8216874,4021810
32113,1308617366,90305819,8216874,4021810
33147,1308617366,90305819,8216874,4021810
34165,1308617366,90305819,8216874,4021810
35166,1308617366,90305819,8216874,4021810
36215,1308617366,90305819,8216874,4021810
37285,1308617579,90306151,8217087,4022142
38264,1308617579,90306151,8217087,4022142
39269,1308617579,90306151,8217087,4022142
40316,1308617579,90306151,8217087,4022142
41320,1308617579,90306151,8217087,4022142
42375,1308617579,90306151,8217087,4022142
43365,1308617579,90306151,8217087,4022142
44366,1308617579,90306151,8217087,4022142
45392,1308617579,90306151,8217087,4022142
46363,1308617579,90306151,8217087,4022142
47363,1308617792,90306483,8217300,4022474
48367,1308617792,90306640,8217300,4022631
49366,1308617872,90306640,8217380,4022631
50414,1308617872,90306640,8217380,4022631
51415,1308617872,90306640,8217380,4022631
