time,total received,total sent,mobile received,mobile sent
230,1308187896,90154650,7788604,3871841
1232,1308189589,90154839,7790297,3872030
2236,1308189589,90154839,7790297,3872030
3235,1308191223,90155028,7791931,3872219
4231,1308191368,90155080,7792076,3872271
5283,1308191516,90155132,7792224,3872323
6318,1308191516,90155132,7792224,3872323
7283,1308191609,90155184,7792317,3872375
8332,1308191716,90155245,7792424,3872436
9332,1308191716,90155245,7792424,3872436
10367,1308191716,90155245,7792424,3872436
11334,1308191716,90155245,7792424,3872436
12329,1308191716,90155245,7792424,3872436
13333,1308191716,90155245,7792424,3872436
14334,1308191716,90155245,7792424,3872436
15330,1308191716,90155245,7792424,3872436
16334,1308191716,90155245,7792424,3872436
17390,1308191716,90155245,7792424,3872436
18392,1308191716,90155245,7792424,3872436
19380,1308191716,90155245,7792424,3872436
20382,1308191716,90155245,7792424,3872436
21433,1308191716,90155245,7792424,3872436
22456,1308191716,90155245,7792424,3872436
23482,1308191716,90155245,7792424,3872436
24481,1308191716,90155245,7792424,3872436
25541,1308191716,90155245,7792424,3872436
26618,1308191716,90155245,7792424,3872436
27583,1308191716,90155245,7792424,3872436
28583,1308191716,90155245,7792424,3872436
29632,1308191716,90155245,7792424,3872436
30655,1308191716,90155245,7792424,3872436
31681,1308191716,90155245,7792424,3872436
32680,1308191716,90155245,7792424,3872436
33684,1308191716,90155245,7792424,3872436
34709,1308191716,90155245,7792424,3872436
35693,1308191823,90155306,7792531,3872497
36729,1308191823,90155306,7792531,3872497
37732,1308191823,90155306,7792531,3872497
38754,1308191823,90155306,7792531,3872497
39733,1308191823,90155306,7792531,3872497
40732,1308191823,90155306,7792531,3872497
41731,1308191823,90155306,7792531,3872497
42815,1308191823,90155306,7792531,3872497
43779,1308191823,90155306,7792531,3872497
44783,1308191823,90155306,7792531,3872497
45786,1308191823,90155306,7792531,3872497
46802,1308191823,90155306,7792531,3872497
47788,1308191823,90155306,7792531,3872497
48790,1308191823,90155306,7792531,3872497
49781,1308191823,90155306,7792531,3872497
50822,1308191823,90155306,7792531,3872497
51833,1308191823,90155306,7792531,3872497
52832,1308191823,90155306,7792531,3872497
