time,total received,total sent,mobile received,mobile sent
785,1308355041,90224945,7955125,3941512
1827,1308355041,90224945,7955125,3941512
2786,1308355041,90224945,7955125,3941512
3785,1308355041,90224945,7955125,3941512
4834,1308355164,90224997,7955248,3941564
5867,1308355257,90225049,7955341,3941616
6839,1308355257,90225049,7955341,3941616
7841,1308355257,90225049,7955341,3941616
8837,1308355257,90225049,7955341,3941616
9862,1308357032,90225703,7957116,3942270
10848,1308357167,90225838,7957251,3942405
11844,1308357315,90225890,7957399,3942457
12888,1308357408,90225942,7957492,3942509
13892,1308357408,90225942,7957492,3942509
14887,1308357408,90225942,7957492,3942509
15888,1308357501,90225994,7957585,3942561
16934,1308357553,90226046,7957637,3942613
17981,1308357646,90226098,7957730,3942665
18952,1308357646,90226098,7957730,3942665
19936,1308357859,90226430,7957943,3942997
20984,1308357859,90226430,7957943,3942997
22016,1308359439,90226700,7959523,3943267
22988,1308359439,90226700,7959523,3943267
23987,1308359439,90226700,7959523,3943267
24996,1308359439,90226700,7959523,3943267
26023,1308359532,90226752,7959616,3943319
27042,1308359532,90226752,7959616,3943319
28034,1308359625,90226804,7959709,3943371
29036,1308359625,90226804,7959709,3943371
30127,1308359838,90227136,7959922,3943703
31087,1308359838,90227136,7959922,3943703
32085,1308359838,90227136,7959922,3943703
33086,1308359838,90227136,7959922,3943703
34089,1308359838,90227136,7959922,3943703
35089,1308359838,90227136,7959922,3943703
36086,1308359986,90227188,7960070,3943755
37087,1308359986,90227188,7960070,3943755
38109,1308359986,90227188,7960070,3943755
39088,1308359986,90227188,7960070,3943755
40084,1308360392,90227703,7960476,3944270
41085,1308360392,90227703,7960476,3944270
42118,1308360432,90227755,7960516,3944322
43087,1308360432,90227755,7960516,3944322
44087,1308360574,90227807,7960658,3944374
45137,1308360574,90227807,7960658,3944374
46187,1308360574,90227882,7960658,3944449
47187,1308360626,90227882,7960710,3944449
48237,1308360626,90227882,7960710,3944449
49235,1308360626,90227882,7960710,3944449
50271,1308360986,90228327,7961070,3944894
51238,1308360986,90228327,7961070,3944894
