time,total received,total sent,mobile received,mobile sent
466,1309608192,90449082,9207124,4164497
1467,1309608192,90449082,9207124,4164497
2495,1309608192,90449082,9207124,4164497
3469,1309608192,90449082,9207124,4164497
4469,1309608192,90449082,9207124,4164497
5468,1309608192,90449082,9207124,4164497
6471,1309608192,90449082,9207124,4164497
7467,1309608192,90449082,9207124,4164497
8465,1309608192,90449082,9207124,4164497
9468,1309608192,90449082,9207124,4164497
10495,1309608192,90449082,9207124,4164497
11465,1309608192,90449082,9207124,4164497
12465,1309608192,90449082,9207124,4164497
13466,1309608192,90449082,9207124,4164497
14499,1309608192,90449082,9207124,4164497
15520,1309608192,90449082,9207124,4164497
16514,1309608192,90449082,9207124,4164497
17515,1309608192,90449082,9207124,4164497
18520,1309608192,90449082,9207124,4164497
19521,1309608192,90449082,9207124,4164497
20519,1309608192,90449082,9207124,4164497
21567,1309608192,90449082,9207124,4164497
22566,1309608192,90449082,9207124,4164497
23569,1309608192,90449082,9207124,4164497
24570,1309608192,90449082,9207124,4164497
25567,1309608192,90449082,9207124,4164497
26639,1309608192,90449082,9207124,4164497
27616,1309608192,90449082,9207124,4164497
28617,1309608192,90449082,9207124,4164497
29615,1309608192,90449082,9207124,4164497
30656,1309608296,90449493,9207228,4164908
31665,1309608683,90449597,9207615,4165012
32666,1309608683,90449597,9207615,4165012
33668,1309608683,90449597,9207615,4165012
34704,1309608683,90449597,9207615,4165012
35671,1309608683,90449597,9207615,4165012
36666,1309608683,90449597,9207615,4165012
37665,1309608683,90449597,9207615,4165012
38689,1309608683,90449597,9207615,4165012
39670,1309608683,90449597,9207615,4165012
40666,1309608683,90449597,9207615,4165012
41665,1309608787,90449732,9207719,4165147
42688,1309608787,90449732,9207719,4165147
43666,1309608787,90449732,9207719,4165147
44667,1309608787,90449732,9207719,4165147
45674,1309608787,90449732,9207719,4165147
46698,1309608787,90449732,9207719,4165147
47665,1309608787,90449732,9207719,4165147
