time,total received,total sent,mobile received,mobile sent
162,502550271,194497936,0,0
1159,502556654,194500222,0,0
2209,502558307,194500412,0,0
3209,502558307,194500412,0,0
4235,502563289,194501321,0,0
5211,502585188,194505033,0,0
6264,502585332,194507385,0,0
7311,502587796,194507659,0,0
8353,502587796,194507659,0,0
9313,502587860,194507731,0,0
10361,502587860,194507731,0,0
11362,502587860,194507731,0,0
12398,502587860,194507731,0,0
13411,502587860,194507731,0,0
14421,502587860,194507731,0,0
15462,502587860,194507731,0,0
16462,502587860,194507731,0,0
17462,502587860,194507731,0,0
18461,502587940,194507823,0,0
19509,502587940,194507823,0,0
20511,502588029,194508001,0,0
21513,502588029,194508001,0,0
22509,502588029,194508001,0,0
23511,502588029,194508001,0,0
24562,502588361,194508596,0,0
25610,502593551,194512570,0,0
26611,502593551,194512570,0,0
