time,total received,total sent,mobile received,mobile sent
770,502721891,194643578,0,0
1768,502721891,194643578,0,0
2769,502721891,194643578,0,0
3768,502721891,194643578,0,0
4776,502722082,194643750,0,0
5770,502722406,194644162,0,0
6774,502722406,194644162,0,0
7767,502722406,194644162,0,0
8768,502722406,194644162,0,0
9769,502722406,194644162,0,0
10774,502723035,194644678,0,0
11770,502723152,194644678,0,0
12769,502723152,194644678,0,0
13824,502723152,194644678,0,0
14817,502723714,194646165,0,0
15819,502724055,194646651,0,0
16817,502724055,194646651,0,0
17857,502724055,194646651,0,0
18822,502724055,194646651,0,0
19820,502724055,194646651,0,0
20818,502724055,194646651,0,0
21857,502724055,194646651,0,0
22822,502724107,194646703,0,0
23870,502748425,194651876,0,0
24869,502759791,194656677,0,0
25879,502765244,194659356,0,0
26869,502765811,194660079,0,0
27868,502765811,194660079,0,0
28870,502765811,194660079,0,0
